id,syllabus_name,question_type,question,answer,answer_span_1,answer_span_2,answer_span_3,answer_span_4,answer_span_5,reasoning_step_1,reasoning_step_2,reasoning_step_3,reasoning_step_4,reasoning_step_5
0J1q7i85xMue9DW2,syllabus_fall2022-revised2,summarization,What are the learning objectives I'll achieve by taking this course on statistical modeling in health data science?,"Utilize data to identify randomness patterns and understand statistical model equations. Formulate, fit, and interpret models to answer scientific questions, tally evidence for and against theories, and assess model suitability. Reports should be brief, polished, and reproducible.",Utilize data to identify and separate patterns of randomness from non-randomness.,Understand and critique statistical model equations as representations of a given real-world setting.,"Formulate, fit, and interpret statistical models designed to answer specific scientific questions.",Tally the evidence in favor of and against theories about the relationships between variables.,"Reports from statistical analysis should be brief, polished, and reproducible.",,,,,
5PzNPSf1toB3QQ39,796 Syllabus,no answer,"Are there ""free"" absences students can take before they are penalized?",No/insufficient information,,,,,,,,,,
tqvHhHdemovsZODV,1. Syllabus 2023,multi factual,How many different assignments will make up my final grade and how much is each assignment worth?,"Your final grade will be made up of three different assessments.  Your one-page memos will count for 30%, your final presentation will count for 30%, and your overall class participation will count for 40%.","One-page memos 30% 
",Final presentation 30%,Overall class participation 40% ,,,,,,,
FYSoNmLGYc4d4AAc,Syllabus_Grounding_S_2023,single factual,What date is the final paper due for graduate students?,The final paper is due June 31st for all students in this class.,The final paper will be due on June 31st.,,,,,,,,,
RhH5CLvIBZtQEeK3,2023_Chem122_syllabus,summarization,What does the normal weekly workload look like for this class?,"Each week, students are expected to actively read the text, complete problem sets and assignments on OWL, watching the pre-recorded lecture, and attend class. ",The following table shows roughly the tasks and the expected weekly time commitments. ,"Reading
2 – 4
Actively reading
the text; working
through the
example problems
*by hand*, is a
great way to
construct new
knowledge in a
way that makes
sense to you. ","Problem Sets/OWL
3– 4
“Walk the dog.”
You need to do this
regularly. Plan to
dedicate about 30-
40 min daily to
solve HW/ OWL. It
is in your best
interest to solve the
assigned
H.W. in smaller
chunks and not in
one setting","Pre-recorded Lecture
1
Typical weeks will
include a prerecorded lecture to
provide more detail
over concepts.","In Class
3
It is critical that you
attend these inperson sessions for
lecture content and
problem solving. It is
your opportunity to
interact with your
peers and me. It is
also a great
opportunity to have
your questions
answered.",,,,,
aObzPExWXWWi9R7e,Most Recent P132 Syllabus - Spring 2022,single reasoning,How much is class participation worth?,"There is not a class participation credit, but there will be quizzes in class.",,,,,,"There is no class participation listed on a grade breakdown, and a section describing what happens in class says that the activities done in class aren't for a grade.",,,,
Rcz02ayDSWsd4Vwa,Syllabus.Astron101.summer2023,no answer,"Given that this class involves calculations, what are the suggested math course prerequisites? ",No/insufficient information,,,,,,,,,,
yaPKJ9moTYDdwZEC,1. Syllabus 2023,no answer,What is the class size?,No/insufficient information,,,,,,,,,,
KIYp1HKl26ydTxVk,Biol582_2022_Syllabus,summarization,What is the goal for this class?,"The goal of the course is for students to have an understanding of evolution, developmental logic and principals of gener regulation. Being versed with the information of the reading is also a goal.","Knowledge Outcomes: On completing this course you should have a solid understanding of (a) evolutionary patterns and processes (e.g., homology at different levels of biological organization)",(b) developmental logic,"(c) principals of gene regulation (e.g., enhancers and their role in development and evolution), and (d) the “rules” that permit and limit evolutionary change. ","In addition, you should be comfortable reading and
processing the primary scientific literature, as well as distilling and communicating information gleaned from
these sources.",,,,,,
v1wTVdGVUyeY5uGW,796 Syllabus,summarization,What will we learn about theoretical models?,"For each theoretical model, we will learn an example of interventions used to implement theoretical models of learning and an example of a research method that is used to study the learning processes. ","For each theoretical model, we will discuss example interventions that implement theoretical models of learning","For each theoretical model, we will also discuss an example research method that is used to study learning processes fostered by interventions that make use of this theoretical model.",,,,,,,,
dRbsOWPvYqfazRKh,GEOG468668syllabusGIS_2023,yes/no,Is trigonometry a prerequisite for the course?,Yes,"High school math and geometry, including Trigonometry",,,,,,,,,
kwXPkylwOjQ3AszG,Biol582_2022_Syllabus,single reasoning,"If I don't completely believe in evolution, is this class for me?",Yes take this class as it will provide you with a better appreciation for the endless forms that evolution have taken.,,,,,,This class is about evolutionary development biology. It is about identifying the development genetic changes that underlie evolution.,,,,
sk97FqO1cTiZw4Qo,Most Recent P132 Syllabus - Spring 2022,yes/no,can i subscribe the scheduled calendar from my own device to know the exact dates of assignments?,Yes,The calendar is embedded in the Moodle page.  You can also subscribe to the calendar on your own device. ,,,,,,,,,
eVMJP78pcm8TlHEi,CS Syllabus for 568,no answer,Are there any specific guidelines or requirements for the project in CS 568,No/insufficient information,,,,,,,,,,
h7PU9uZwlxrSWTYr,Acct 371 Syllabus - Spring,no answer,What are the prerequisites for this course?,No/insufficient information,,,,,,,,,,
kutyf4IJpk89rtxI,796 Syllabus,single factual,What kind of final exam does this class have?,The final exam of this class consists of your final deliverable paper as well as a presentation of said paper to the class on the last day.,Final Write-Up (max. 8 pages) and Presentation (10 minutes + 2 minutes for questions).,,,,,,,,,
hXxLtUrtjpY1hFLJ,101-f22-syll,single reasoning,If I am a few points short of an A in the class what should I do?,TYou can earn extra credit to potentially raise your grade.,,,,,,"We will make available extra credit opportunities in the form of an
optional assignment during the semester and an additional experiment i.e. in addition to the required experiment, you will also have the opportunity to receive extra credit by participating in a
second experiment in the Department of Linguistics, which you can sign up for by going to
http://umassxling.sona-systems.com",,,,
YZWs61C9tTwCUFbX,stat-111-syl-spring 2023,no answer,Which topics are covered in Chapters 19 and 20 of this course?,No/insufficient information,,,,,,,,,,
kOfY6S9y6AO3E6ve,Syllabus-549,single factual,What text is required for the course?,There will be no required text for the course.,Text: None required,,,,,,,,,
ijLcE3lCfzuf5ewf,Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus,summarization,What skills can be used in the presentation to present the project?,"The project can be creative and expressive, such as a video, brief play pr performance, art, photography, poetry and creative writing, a website, zine, graphic novel, podcast, etc. It can also combine analytical and creative elements, and can be done in a solo or in a group of up to three classmates. At the end of the course, the project will be presented to the class.","your project can be more creative and expressive, such as creating a video, brief play or performance, art, photography, poetry and creative writing, creating a website, zine, graphic novel, podcast, etc.",Final project can also combine analytical and creative elements.,You also have the option of doing a solo project or in a group of up to three other classmates.,You will also present your project (around 10 minutes or so) to the class at the end of the course.,,,,,,
wDIgxeT0foX3kcFI,130 syllabus_2 S 2023,multi factual,How much extra credit can I earn and can I earn it after I see my final grade?,"You are allowed to earn up to 5 extra credits, however, they must be earned before final grades are posted.",Extra Credit Opportunities (for a maximum of 5 credits),There will be no changes to your grade once the final grades are posted.,,,,,,,,
YHnQ19IvGFXC8vT5,Syllabus-549,multi factual,What objectives should I be able to accomplish once this course is complete?,"By the end of this course students should be able to formulate mechanical stability modeling, calculate elastic and inelastic column buckling capabilities, use FEM to calculate stability phenomena, use ABAQUS software to model a structure and identify stability phenomena.",Formulate mechanical stability modeling,Calculate elastic column buckling capacities.,"Calculate inelastic column buckling capacities.
",Use FEM to calculate stability phenomena. ,Use ABAQUS to model a structure and to identify stability phenomena.,,,,,
okx0TWCI2GTONM5J,796 Syllabus,multi factual,What percentage of my grade is the final?,The final consists of the final paper which is worth 20% of your grade and the presentation which is worth 8% of your grade. Together they are worth 28% of your grade.,Final deliverable paper: 20%,Final presentation: 8%,,,,,,,,
j4kSqdCsAHohSP7v,stat-111-syl-spring 2023,multi factual,What are the prerequisites for taking STAT 111 Elementary Statistics?,This four-credit course satisfies the R2 general education requirements for graduation.,"To enroll in STAT 111 Elementary Statistics, students are required to have completed advanced algebra and geometry.","The course is highly computational and involves some algebraic concepts. If students are uncertain about their preparation, they are advised to consider taking Math 100.","The course is highly computational, and some algebra is required. Students who are unsure of their preparation should consider taking Math 100.

","The course covers sampling methods, types of studies, critical reading of statistics in the news, graphical representation of data, central tendency and variability, normal distribution, the basics of probability, correlation versus causation, sampling distributions, confidence interval estimation and margin of error, and hypothesis testing.",Stat 111 is intended for students who have completed advanced algebra and geometry.,,,,,
01hcnQa5bPTSZOUj,Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus,single reasoning,"Which topics will I miss if I can't make it to class the tenth and eleventh weeks?
","You will miss these topics: ""Model Performance Analytics II: Ranking, Profit, Lift ROC Analysis, Expected Value Framework,"" and ""similarity, distance, nearest neighbors, clustering.""",,,,,,"The topic of the 10th week of the class is Model Performance Analytics II: Ranking, Profit, Lift ROC Analysis, Expected Value Framework,"" and for the 11th week it is ""similarity, distance, nearest neighbors, clustering.""",,,,
ETf8MTeLkNiqir2Y,PH224_Syllabus_Spring23,multi reasoning,I don't like doing quizzes. If I skip them all can I still pass the course?,"Quizzes are 20% of your grade. Assuming you make very little errors on other work and do not miss anything else, it is still possible to pass the course without doing any quizzes.",,,,,,"Final course grades will be calculated as follows:
Participation 20%
Quizzes 20%
Problem sets 30%
Midterm exam 15%
Final exam 15%","The following rubric will be used to determine final grades in this course:
A 93-100 B 83-86.99 C 73-76.99 D 63-66.99
A- 90-92.99 B- 80-82.99 C- 70-72.99 D- 60-62.99
B+ 87-89.99 C+ 77-79.99 D+ 67-69.99 F &lt;60
",,,
rYliILHSdN16m1EV,315 Lab Syllabus 22-01-11,no answer,Which version of the Microsoft Office program is required to use?,No/insufficient information,,,,,,,,,,
CdL0jHTjCDuhmHjf,CS Syllabus for 568,summarization,Is there any subjectivity by the instructor that could affect my class grade?,Yes 5% of your grade will be determined by how well the instructor feels you've been an active participant and have learned the discussed course materials.,"*Note, 5% of your course grade will be based on the instructor's’ judgment of your level of learning , whether you have learned more or less than is reflected in the points you have earned.","This judgment will be influenced by your class and group
participation.","Thus, regular attendance and active participation in group and class meetings is in your interest.",,,,,,,
oIKEsRtuZnvtQKTL,Acct 371 Syllabus - Spring,single reasoning,I'm going to be out of town from 2/22 to 2/28. I will still be available to do the online assignments. What chapters will I miss during that week in class?,We will be covering Chapter 4 and Chapter 5 of the textbook during that time.,,,,,,"Chapter 4 is being covered during the week of 2/20, and Chapter 5 is being covered during the week of 2/27.",,,,
YMzC9qtx5O7emRch,Acct 371 Syllabus - Spring,multi reasoning,How many quizzes/tests/exams are there?,"There will be about 30 pre-quizzes, quizzes, and exams total throughout the semester.",,,,,,It says there will be pre-quizzes for each chapter covered.,The calendar shows 14 chapters that are covered.,"The syllabus says there will be a quiz each week, or about 13 total.",There are 3 exams in the course.,
hdju3Q0DhFyYLbpX,JOURNAL 310 (International Journalism) Syllabus - 2022 Spring,yes/no,Will there be extra credit opportunities in this course? ,Yes,Extra credit opportunities will be made available over the course of the semester. A student may receive no more than 10 extra credit points over the course of the semester.,,,,,,,,,
bWcUeNQlVlBctIXE,Animlsci581 Syllabus-v4,summarization,What grade percentages do I have to get to get an A or B in this class?,"To get an A, you need higher than a 90%, and for a B you need higher than an 80%.",A ≥ 93.000 % A− = 90.000-92.999 %,B+ = 87.000-89.999 % | B = 83.000-86.999 % | B− = 80.000-82.999%,,,,,,,,
clTIsf1IHGZjruGl,CS Syllabus for 568,multi factual,What is the required reading for this course?,There is a packet of required reading that must be purchased and papers online that must be printed and brought to class. ,There is a packet of required reading that you will be required to purchase that pays for the photocopying.,"Many of the papers are available online. You are expected to print your own copy and bring it to class for discussion.
",,,,,,,,
ykp85XtHW2sp0vnZ,Syllabus-549,single factual,What percentage of the grade is homework worth for the final grade in the course?,Homework is worth 50% of the final grade in the course.,Homework 50%,,,,,,,,,
xhfEXB2rNQajLXxj,Syllabus_209H_230301,single reasoning,I will be unable to attend the lectures on April 25th and April 27th. What topics will I miss?,"You will miss the topics ""After three heads, the fourth throw must be tails"" and ""Willpower is a limited resource"". You will also miss the quizzes for the required readings, ""Baumeister et al. (1998)"" and ""Misirlisoy & Haggard (2014)"".",,,,,,"The topic for 4/25 is ""After three heads, the fourth throw must be tails"", and the topic 4/27 is ""Willpower is a limited resource"". The quizzes for the required readings, ""Baumeister et al. (1998)"" and ""Misirlisoy & Haggard (2014)"" will also be held on those days.",,,,
wcCqG2wAiuGq0ARl,syllabus-RESEC213-2023spring-yp,single reasoning,Can I make up a class if I get into a wreck and cant make it.,"This would be a case-by-case thing, but if you have proof something happened then arrangements can likely be made. ",,,,,,"There are exceptions for certain issues, so it is likely you could provide the police report and still get a makeup.",,,,
xtkfiyk47PS8tANB,Biol582_2022_Syllabus,single reasoning,"I am unable to purchase the textbook for this course, will I be able to complete the required readings?","Yes, you will be able to complete the required readings because the required chapters/sections of the textbook will be posted on Moodle as PDFs.",,,,,,Required chapters/sections of the textbook will be posted on Moodle as PDFs.,,,,
BvMY3azi2zWrBR6B,soc795E,yes/no,If i am in week 1 then can i  neglect to submit reflection on reading?,Yes,In week 1 there is no need for you to submit reflections on the reading.,,,,,,,,,
lCFm0Mc4Kxdbu9e3,101-f22-syll,single factual,What format do the assignments need to be presented in?,"Unless otherwise specified, all assignments must be submitted in PDF format.",PDF format.,,,,,,,,,
LwfU1smcZlBPLzle,Syllabus_BIOLOGY497G_BIOLOGY697G_FA22,no answer,Will class notes be posted for those who are unable to attend lectures?,No/insufficient information,,,,,,,,,,
4pC7x1CLezdYrXAn,syllabus_fall2022-revised2,single reasoning,What happens if I fail to hand over my homework by the deadline?,You'll not receive any grade if you failed to submit the homework on time.,,,,,,"If homework is not handed in on time, it will receive a grade of zero.",,,,
K0cpI3thWq2G7BOO,EME6651-SP2023_Syllabus,multi factual,What computer based tools will be need?,"Personal computer, reliable internet, modern internet browser, RapidMinder Studio, MS Office Suite, and Adobe Reader.",There is no required textbook for this course	– all readings will be provided through Canvas,"You will need access to a modern personal computer and a reliable internet connection. Additionally, we will be	
using	a	variety	of	software	packages	this	semester,	including	RapidMiner	Studio	(Educational	License;	
https://rapidminer.com/educational-program/),	MS	office	suite	(2007	or	later),	Adobe	Reader,	and	modern	
browser	(Chrome,	Firefox,	Edge,	etc.)",,,,,,,,
r5nc2ydpJhinDZ5S,Syllabus-549,single factual,What date is the midterm exam?,The date of the midterm exam is to be determined (TBD).,Midterm exam date on TBD,,,,,,,,,
X1OomhWjumil2bif,syllabus-RESEC213-2023spring-yp,single factual,What are the quizzes like in this class,They will be posted online and active for a week. You will not be able to stop once you start one. ,"Each quiz will remain	
active for 7 days.	Quizzes are timed - you will have 2 hours.	Once you click on a quiz, you cannot	
stop	 the	clock! A	quiz	will	consist	of	a	number	of questions	- many	will	be	selected	 from	 the	
homework questions. You can make two attempts at each quiz",,,,,,,,,
RWKPYSqVTrBE2QWr,"CS4501-001_ Privacy in the Internet Age, Fall 2021_1",multi reasoning,"If I wanted to finish with a 90% average for the class and I got 95% on all quizzes and homework, what grade would I need on the final project/presentation?",You would need an 83% on the final project/presentation to finish with a 90% average.,,,,,,"Homework is worth 45%, so 95% x 45% = 42.75%","Quizzes are worth 15%, so 95% x 15% = 14.25%","The total for Homework and Quizzes would be 57% (42.75% + 14.25%), so you'd need another 33% to get a 90% average.","The final project/presentation is worth 40%, so you'd need an 83% to get the necessary score (83% x 40% = 33.2%)",
chfVmObjgkDEn6Zi,CS Syllabus for 568,summarization,What is required for the online component of the course?,"You must make three posts each week on Canvas, the first two must be 48 hours apart and the third just before the next class. You must also read other students posts and be ready to discuss them in class.",Students will be required to submit at a response within 48 hours.,"You then must
go and read with your peers have said and make a second post within 48 hours have that.","Then just before class, you should post one more time","These posts can be about
1) a question you had about the reading, something important you did not understand
2) an idea inspired by the reading
3) an interesting connection with something you learned or did previously in this or another course, or in other professional work or research
4) an on-topic, relevant response, clarification, or further comment on another student’s post",You are required to review other students’ post and are encouraged to respond to/answer other student’s discussions. I will use these questions as starting points for discussion.,,,,,
tJFv0UIHqY4cqfJJ,2023_Chem122_syllabus,yes/no,Can I use a Chemistry Molecular Model that is not listed in the syllabus?,Yes,"Yes, as long as it meets the requirements.  (with 2 Sulfur atoms, 6-hole). 
Examples include: Molymod MMS-009; Duluth MM-003; Hilitchi 125Pcs; Diwenhouse 240 pc. 
",,,,,,,,,
yzk4Nk2J2oPuT58I,CS Syllabus for 568,single reasoning,If I have not taken CS 560 can I take this course.,Yes. You do not need to have taken CS 560 to take this course.,,,,,,CS 560 is not listed as a prerequisite.,,,,
wTyiaRVYe2LM8td6,PH224_Syllabus_Spring23,multi factual,"I woke up feeling sick, and I don't know if I'll come to class today. What should I do?","Please don't come to class if you're feeling sick. Instead of coming to class, watch the Echo360 recording of today's class and engage with the materials from the class section that will be posted on Moodle. Email or make an appointment with the professor with any specific questions you have about the material.","However, if you feel ill please do not come to class.","Instead, you should watch the recorded lectures through
Echo360",and review the class session materials posted on Moodle. ,"Students who must miss class are expected to watch the Echo360 recording for the class session they missed, and
are encouraged to email or make an appointment to review any questions they have about the material.",,,,,,
sSPX6TnsipFrKoXc,2023_Chem122_syllabus,yes/no,Does this course require a physics topic as a prerequisite?,No,"No, the only prerequisites are secondary school chemistry; Chem 121H and Math 131.",,,,,,,,,
4z7ndrWiNQLAMMu5,Acct 371 Syllabus - Spring,multi factual,How is the homework in this class graded?,"Homework problems cover each chapter. Though they are graded in CNOW, the grade for homework is based on completing the problems, not accuracy, and is worth 10% of the class grade.",Homework: - The homework will consist of problems at the end of the chapter that will be assigned to you in CNOW/Blackboard. I will assign homework problems for each chapter.,"While homework is graded in CNOW, your final grade will be based on completion of the homework assignment (i.e. participation).
",GRADING: Homework 10%,,,,,,,
JEvQPmvsSIaFljbX,Teaching Math in Elementary School 2 Proposed Syllabus,multi reasoning,What are the academic policies when it comes to absences and what happens if I have a religious holiday to observe during a scheduled class time?,"Reasons for excused absences include religious reasons, medical reasons, and school related extracurricular activites. If you have a religious holiday related absence, you need to let the professor know in writing before the semester begins to make arrangements.",,,,,,Academic policies regarding excused absences include religious holidays.,Academic policies regarding excused absences include medical reasons.,Academic policies regarding excused absences include school related extracurricular activities.,"For a religious observance, the professor should be notified in writing at the beginning of the semester ",
iiUAv8sYu3T8JMXQ,advanced_system_software_design_redacted,no answer,What is the total cost of this course?,No/insufficient information,,,,,,,,,,
kNYx1OtCi5rdvKXf,syllabus-RESEC213-2023spring-yp,yes/no,Will there be a final exam given for this course?,Yes,"Exam (60%)
There will be two midterms and a final exam",,,,,,,,,
kgCECc6AvFEX3LCG,stat-111-syl-spring 2023,yes/no,Does class attendance affect my grade?,Yes,"Attendance has 5% of course grade. Deduct
0% for missing up to 3 times; Deduct 1% for missing up to 5 times; Deduct 2% for missing up to 7
times; Deduct 3% for missing up to 9 times; Deduct 4% for missing up to 11 times; Deduct 5% for
missing more than 11 times;",,,,,,,,,
WZ9SrEoGKKnOM3kL,Syllabus_209H_230301,multi factual,Are there extra credit opportunities for this course?,Extra bonus points opportunities can be found by earning SONA credits or completing alternative assignments if unable to take SONA opportunities.,There is an opportunity to earn bonus points for SONA credits in this course.,Students with disabilities that are registered with Disability Services can request an accommodation from their instructor if neither experiment participation nor the alternative can work.,"If you are having any problems accessing SONA or SONA credit opportunities, please contact &lt;EMAIL&gt;. Neither the instructors nor the teaching assistants for this class will be able to help.",,,,,,,
wb9I6UKtj9BQL7K6,PH224_Syllabus_Spring23,summarization,What kinds of things can I expect to learn during this course?,The course will begin with an introduction to epidemiology followed by basic methods and statistics.  Then we will critique the research of epidemiology and finish with some special and fun topics!,Module 1 à Introducing epidemiology – origins and essentials,Module 2 à Taking it to the next level – basic methods and statistics,Module 3 à Picking it apart – critiquing epidemiologic research,Module 4 à Getting to the fun stuff – special topics in epidemiology,,,,,,
hMA2CbifYVhLYMPs,MIE 380 syllabus F22,multi factual,What is the proper way to send you emails? ,"All emails must have salutation, your name, MIE 380 and questions issues clearly explained in the email. ","Include a salutation,",your name,MIE 380,question/issue clearly in all emails;,,,,,,
ceXvUojAAzYMHX4a,GEOG468668syllabusGIS_2023,summarization,What is the difference between taking the class as GEO 468 and GEO 668?,"GEO 468 is the undergraduate version of the course and GEO 668 is the graduate version. Accordingly, graduate students will receive extra work for certain labs and will be required to give a journal paper presentation in lieu of the undergraduate mid-term project.",Mid-term project 468: 10%  668: / ,Journal paper presentation 468: /  668: 10%,"* In some labs, extra parts will be assigned to 668 students. 668 students are expected to give a journal paper presentation
and finish a more complete final project.",Graduate student journal paper presentation,,,,,,
syT9YMFSu0xO1hss,syllabus-RESEC213-2023spring-yp,multi reasoning,I will be out the week of March 5-12 will my grade be impacted if I miss this week?,You will come out with a 65 if you do not take the midterm as it makes up 35% of the class grade. To get a C you must make a 70 You will not pass the class.,,,,,,Midterm is given tentatively Mar. 8 ,The midterm makes up 35% of the grade.,To receive a C in the class you have to score a 70,,
5M8gFO8Skt6FXgfI,MKTG 497G Customer Insight Syllabus S2023,no answer,How quickly are you usually able to respond to e-mails?,No/insufficient information,,,,,,,,,,
4XrPWYY9WAqhxXh5,CS Syllabus for 568,multi reasoning,"If I don't do any of the Reading Reports and class participation, can I still pass the course?","Yes, your best possible score without reading and class participation is a 70%.",,,,,,Projects are worth 40%,Exams are worth 30%,,,
HrVaQ7bKN0Kpz74i,1. Syllabus 2023,multi reasoning,"If I miss two classes unexcused and turn in one assignment a day late, what are the consequences?","If you miss two classes unexcused, and turn in one assignment a day late, you can expect at least two letters to be dropped from your class grade.",,,,,,More than two unexcused absences will result in a drop of at least one letter grade.,"Assignments are to be turned in promptly on the day they are due, or students will be subject to a drop of at least one letter grade per day.",,,
0SZZEJowPRftmOEf,Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus,yes/no,Do I need to have some programming experience before starting this class?,No,No prior programming experience is expected.,,,,,,,,,
NJVHbavh3QwyPpv9,syllabus-RESEC213-2023spring-yp,single factual,How much are exams worth?,The exams make up 60% of the total grade.,Exam (60%),,,,,,,,,
sXLoR8ycooSvbH3C,soc795E,no answer,Is this class graded on a curve?,No/insufficient information,,,,,,,,,,
j57fZsY9nU0P2VMN,315 Lab Syllabus 22-01-11,multi factual,What items of personal protective equipment am I required to purchase?,"You must purchase a lab coat, safety glasses or googles and a cotton or flame retardant face mask.",Safety glasses or goggles (Campus Store or Amazon),Lab coat (Campus Store or Amazon),"Cotton or flame retardant facemask (Campus Store or Amazon) or if you would prefer a higher rating mask, KF94 masks. ",,,,,,,
uEa6dNojZ7ByZKep,Acct 371 Syllabus - Spring,summarization,What is the main difference between quizzes and pre-quizzes?,The main difference between quizzes and pre-quizzes in the time that they are administered. Quizzes are after material is covered in class and pre-quizzes are before the material is covered in class. ,quizzes will be after we covered the material in class. ,(Pre)quizzes will be due before we meet to cover the material in class.,,,,,,,,
kp81MPWrWEdubO8l,Sch Mgmt 652 Syllabus - Fully OnLine,no answer,"How is homework submitted, on paper or online?",No/insufficient information,,,,,,,,,,
2PJXDp60WiPHJERf,syllabus_fall2022-revised2,single reasoning,Do I need to purchase any textbooks for this course?,No purchase required as both books will be freely available on the course website as PDF versions.,,,,,,"PUBHLTH 490Z will use the draft text Introductory Statistics for the Life and Biomedical	
Sciences, a revision of OpenIntro Statistics, 3rd ed. The revision is tailored for undergraduate students in the life sciences. Also included is an R companion for introductory statistics. PDF versions of both books will be freely available	on the course website.",,,,
2tUBQjKZwVUCWwDK,1. Syllabus 2023,multi factual,What are the course requirements?,The course requirements are 1)one page memos 2)final presentation 3)class participation,"One-page memos: Students will develop briefing memos on aspects of various agencies’
budgets as well as their budget requests. ","Final presentation: Each student will make a presentation on an agency’s FY 2024 budget
proposal. The proposal is to be developed taking into consideration previous budgets and
requests. Prior to the presentation, the student will provide the class with a draft of their
proposal. The presentations will be reviewed on the content of their presentations and the
quality of the presentations. The presentations will be made to the class (acting as
congressional appropriation staff). Be prepared for intense questioning.
Presentations should be 5 minutes with an additional 5 minutes for questions and discussion.",Class participation: Students must be prepared to actively participate during class,,,,,,,
