name,filename,course,major,area,university,num_pages
cs466_sp21_info_redacted,cs466_sp21_info_redacted,Applied Cryptography,Computer Science,STEM,University of Massachusetts Amherst,2
EME6651-SP2023_Syllabus,EME6651-SP2023_Syllabus,Learning Analytics Concepts,Education,Education,University of Florida,6
ENG 204 syllabus_FA 2021,ENG 204 syllabus_FA 2021,Introduction to Asian American Literature,English,Humanities,University of Massachusetts Amherst,6
FIN 408 Syllabus updated v2,FIN 408 Syllabus updated v2,Topics in Financial TechnologyÊ,Finance,Business,University of Massachusetts Amherst,5
FS542_food chem2,FS542_food chem2,Food ChemistryÊ,Food Science,Life Sciences,University of Massachusetts Amherst,4
GEOG468668syllabusGIS_2023,GEOG468668syllabusGIS_2023,GIS and Spatial Analysis,Geosciences,Earth Sciences,University of Massachusetts Amherst,3
270 Syllabus Fall 2022 (1),270 Syllabus Fall 2022 (1),Anatomy & Physiology,Kinesiology,Health Sciences,University of Massachusetts Amherst,12
Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus,Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus,Asian Americans in Media and Popular Culture,Sociology,Social Sciences,University of Massachusetts Amherst,6
JOURNAL 310 (International Journalism) Syllabus - 2022 Spring,JOURNAL 310 (International Journalism) Syllabus - 2022 Spring,International Journalism,Journalism,Communications,University of Massachusetts Amherst,9
Syllabus SPP 697 PM 2023 (clean),Syllabus SPP 697 PM 2023 (clean),Performance Management,Public Policy,Social Sciences,University of Massachusetts Amherst,27
L0,L0,Introduction to Game Theory with Applications,Computer Science,STEM,University of Tbingen,3
Legal 297BL Syllabus,Legal 297BL Syllabus,Bias in the American Legal SystemÊ,Political Science,Social Sciences,University of Massachusetts Amherst,11
MGMNT 462_ Syllabus - Spring 2023,MGMNT 462_ Syllabus - Spring 2023,Social Entrepreneurship,Management,Business,University of Massachusetts Amherst,9
MIE 302 Spring 2022 Syllabus-v1,MIE 302 Spring 2022 Syllabus-v1,Mechanical Engineering LaboratoryÊ,Mechanical Engineering,STEM,University of Massachusetts Amherst,6
MIE 380 syllabus F22,MIE 380 syllabus F22,Operations ResearchÊ,Mechanical Engineering,STEM,University of Massachusetts Amherst,4
MKTG 497G Customer Insight Syllabus S2023,MKTG 497G Customer Insight Syllabus S2023,Generating Customer InsightsÊ,Marketing,Business,University of Massachusetts Amherst,13
Most Recent P132 Syllabus - Spring 2022,Most Recent P132 Syllabus - Spring 2022,Introduction to PhysicsÊ,Physics,STEM,University of Massachusetts Amherst,25
MUSIC-ED 500KU Syllabus S23,MUSIC-ED 500KU Syllabus S23,Music Education,Music,Humanities,University of Massachusetts Amherst,23
Nutr_130H_Syllabus_2021Fall,Nutr_130H_Syllabus_2021Fall,Nutrition and a Healthy Lifestyle,Nutrition,Public Health,University of Massachusetts Amherst,6
PH224_Syllabus_Spring23,PH224_Syllabus_Spring23,Epidemiology in Public Health,Public Health,Public Health,University of Massachusetts Amherst,7
PSYCH 397D syllabus Spring 2023,PSYCH 397D syllabus Spring 2023,Autism Spectrum Disorder,Psychology,Social Sciences,University of Massachusetts Amherst,15
num_analysis_redacted,num_analysis_redacted,Numerical Analysis,Math,STEM,University of Massachusetts Amherst,2
Sch Mgmt 652 Syllabus - Fully OnLine,Sch Mgmt 652 Syllabus - Fully OnLine,Federal Tax Research,Accounting,Business,University of Massachusetts Amherst,5
soc795E,soc795E,Modeling Emergence: Computer Simulation of Social Dynamics,Social Science,Social Sciences,University of Massachusetts Amherst,15
Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus,Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus,Data Science for Business,Business Analytics,Business,University of Massachusetts Amherst,6
stat-111-syl-spring 2023,stat-111-syl-spring 2023,Elementary StatisticsÊ,Math,STEM,University of Massachusetts Amherst,6
ResEcon-213-Fall-2022,ResEcon-213-Fall-2022,Intermediate Statistics for Business and EconomicsÊ,Economics,Social Sciences,University of Massachusetts Amherst,3
Syllabus Bio 544 lecture S23,Syllabus Bio 544 lecture S23,Ornithology,Biology,STEM,University of Massachusetts Amherst,5
Syllabus Chem111-Fa22,Syllabus Chem111-Fa22,General Chemistry,Chemistry,STEM,University of Massachusetts Amherst,12
Syllabus_209H_230301,Syllabus_209H_230301,Myths and Truths in Psychology,Psychology,Social Sciences,University of Massachusetts Amherst,7
syllabus_606,syllabus_606,Classical Electrodynamics,Physics,STEM,University of Massachusetts Amherst,6
Syllabus_BIOLOGY497G_BIOLOGY697G_FA22,Syllabus_BIOLOGY497G_BIOLOGY697G_FA22,Human Genome Analysis,Biology,STEM,University of Massachusetts Amherst,3
syllabus_fall2022-revised2,syllabus_fall2022-revised2,Statistical Modeling in Health Data Science,Public Health,Public Health,University of Massachusetts Amherst,7
advanced_system_software_design_redacted,advanced_system_software_design_redacted,Advanced System Software Design (OS),Computer Science,STEM,University of Massachusetts Amherst,3
Syllabus_Grounding_S_2023,Syllabus_Grounding_S_2023,Philosophy of Science,Philosophy,Humanities,University of Massachusetts Amherst,4
Syllabus_ISE4100_Au22_v3_redacted,Syllabus_ISE4100_Au22_v3_redacted,Stochastic Modeling and Simulation,Integrated Systems Engineering,STEM,Ohio State University,6
Syllabus_Marine_Microbiome_2022_redacted,Syllabus_Marine_Microbiome_2022_redacted,The Marine Microbiome: A 21st Century Perspective,Marine Science,STEM,University of California Santa Barbara,3
Syllabus_Spmgt461_DataAnalytics,Syllabus_Spmgt461_DataAnalytics,Sport Data Analytics,Sport Management,Business,University of Massachusetts Amherst,14
syllabus-2,syllabus-2,Computational Methods in Environmental Engineering,Civil & Environmental Engineering,STEM,University of Massachusetts Amherst,5
Syllabus-549,Syllabus-549,Structural StabilityÊ,Civil & Environmental Engineering,STEM,University of Massachusetts Amherst,3
syllabus-RESEC213-2023spring-yp,syllabus-RESEC213-2023spring-yp,Intermediate Statistics for Business and EconomicsÊ,Economics,Social Sciences,University of Massachusetts Amherst,6
Syllabus. Multivariable Calculus,Syllabus. Multivariable Calculus,Multivariable CalculusÊ,Math,STEM,University of Massachusetts Amherst,5
Syllabus.Astron101.summer2023,Syllabus.Astron101.summer2023,The Solar SystemÊ,Astronomy,Physical Sciences,University of Massachusetts Amherst,5
Teaching Math in Elementary School 2 Proposed Syllabus,Teaching Math in Elementary School 2 Proposed Syllabus,Teaching Mathematics in Elementary SchoolÊ,Education,Education,Southern Methodist University,12
UMASS-Math3312023,UMASS-Math3312023,Ordinary Differential Equation,Math,STEM,University of Massachusetts Amherst,4
vsyllabus 2022,vsyllabus 2022,Advanced Validity Theory and Test Validation,Education,Education,University of Massachusetts Amherst,24
web_syllabus_4670,web_syllabus_4670,Digital Communication System DesignDigital Communication System Design,Electrical and Computer Engineering,STEM,Cornell University,2
